Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
PM-S;N;94;97;7;15;97;18;;6;12;;94;;97;101;100;82;92;98;;87;;91;;;;108;;82;82;;;94;8;;;87;15;;;;97;6;56;;75;91;20;80;30;27;40;6;97;40;30;;;31;;29;;;;94;51;17;36;;101;24;;100;57;50;87;;;82;40;;26;;;57;;;;12;;49;;;45;18;108;20;28;;17;;6;21;16;79;9;87;41;82;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;
PM-S;Data Quality;Working value;Working value;Provisional value;Working value;Working value;Working value;;Provisional value;Provisional value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;;;;Working value;;Working value;Working value;;;Working value;Provisional value;;;Working value;Working value;;;;Working value;Provisional value;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;;;Working value;;Working value;;;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;;Working value;;;;Provisional value;;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
QLO-1;Concentration;16.18;3.17;0.01;1.02;4.35;2.97;;0.37;0.18;0.56;3.6;;1;0.093;4.2;0.254;65.55;0.624;0.011592;0.1529605;;0.000467696;;;;0.0397357;;0.007593036;0.024975;99.27;0.064;8.56;3.5;0.0012;36;1370;1.89;0.063;2.1;27;2.27;0.05;54;219;7.2;3.2;1.75;29;3.8;2.3;1.43;280;3.04;17;4.7;1.3;;4.6;0.0068;0.86;;0.18;bdl;2.99;27;25;0.37;6000;720;2.6;;3.12;10.3;26;5.8;47.83;bdl;1110;20.4;0.0001;6.01;bdl;;74;bdl;bdl;bdl;30;2.1;8.9;0.009;30.61;4.88;2.31;336;0.82;0.71;bdl;4.5;3700;0.22;0.37;1.94;54;0.58;24;2.32;61;185;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLO-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.8;;;;;;;;;;;;;;22;;;;;0.001;;;10;0.0001;0.46;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLO-1;Uncertainty;0.19;0.08;0.001;0.13;0.14;0.05;;0.11;0.06;0.07;0.12;;0.07;0.006;0.13;0.016;0.47;0.033;0.000966;0.008932;;0.000248464;;;;0.001419132;;0.000373428;0.00216;0.58;0.005;0.1;1.8;0.0003;3;80;0.17;0.003;;2;0.06;;6;18;0.5;1.7;0.19;3;0.3;0.1;0.12;20;0.1;2;0.8;;;0.3;;0.22;;;;0.1;2;2;0.04;400;50;0.3;;0.1;1.3;6;3.6;;;70;0.8;;0.11;;;3;;;;15;0.4;1.3;0.002;0.22;0.16;0.09;12;0.1;0.07;;0.5;200;0.04;0.04;0.12;6;0.05;3;0.24;3;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLO-1;Units;%;%;%;%;%;%;;%;%;%;%;;%;;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;%;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLO-1;N;18;22;5;6;25;8;;7;5;3;24;;16;30;23;15;16;25;12;21;;15;;;;19;;14;13;;3;18;6;4;12;21;11;5;2;5;22;2;18;13;17;15;9;16;8;5;12;13;25;7;15;2;;9;1;6;;1;1;24;15;6;10;16;30;12;;23;10;18;11;2;1;15;8;1;6;1;;14;1;1;1;3;12;18;4;16;13;6;19;10;12;1;13;25;3;8;11;16;7;11;19;14;13;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLO-1;Data Quality;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Certified value equivalent;;Provisional value;Provisional value;Provisional value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;;Provisional value;;;;Certified value equivalent;;Certified value equivalent;Recommended value;Certified value equivalent;Provisional value;Certified value equivalent;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;Certified value equivalent;Provisional value;Recommended value;;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Certified value equivalent;Provisional value;Certified value equivalent;Provisional value;;Certified value equivalent;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Certified value equivalent;Certified value equivalent;Certified value equivalent;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGM-1;Concentration;13.72;1.15;0.014;0.5;1.86;1.27;;0.59;0.11;0.89;4.3;;0.275;0.036;4.07;0.048;73.45;0.267;0.009016;0.0904365;;0.000540774;;;;0.01277219;;0.003983232;0.029565;99.89;0.108;7.26;3;0.00033;28;810;2.37;0.274;1.34;38;8200;0.065;47;510;2;3.7;9.6;11.6;4.08;2.6;0.66;342;1.3;15;3.7;1.3;;6.2;0.022;0.95;;0.15;bdl;3.57;24;57;0.41;1660;282;2.3;;3.02;8.9;19;4.4;49.18;bdl;210;24;0.0002;4.7;bdl;;149;bdl;bdl;bdl;54;1.26;4.4;0.006;34.3;4.3;4.1;108;0.95;0.66;bdl;15.1;1600;0.93;0.37;5.8;13;1.5;25;2.6;32;219;;bdl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGM-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.8;;;;;;;;;;;;;;22;;;;;0.001;;;10;0.0001;0.46;;;;;;;;;;;0.005;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGM-1;Uncertainty;0.19;0.07;0.004;0.01;0.06;0.05;;0.26;0.02;0.13;0.1;;0.026;0.004;0.15;0.0034;0.54;0.025;0.000966;0.0055825;;0.000175386;;;;0.00118261;;0.000746856;0.0027;0.63;0.008;0.1;0.4;;3;50;0.17;0.019;0.12;11;500;0.01;4;50;0.2;1.2;0.6;1.4;0.12;0.3;0.08;30;0.04;2;0.4;;;0.3;;0.22;;;;0.08;1.1;8;0.03;160;30;0.5;;0.11;0.6;1;2;;;15;3;;0.5;;;8;;;;32;0.07;0.3;0.003;0.25;0.3;0.4;10;0.1;0.06;;1.3;150;0.22;0.04;0.5;2;0.18;4;0.3;6;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGM-1;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;%;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGM-1;N;22;28;5;6;27;8;;8;4;4;24;;19;30;26;14;17;26;12;24;;15;;;;19;;16;17;;4;22;6;2;12;24;11;6;3;5;28;4;19;20;14;15;10;16;7;5;15;15;27;6;14;2;;11;1;5;;1;1;24;15;9;10;19;30;12;;26;11;15;10;2;1;14;10;1;6;1;;15;1;1;1;4;12;14;3;17;19;10;19;11;10;1;14;26;4;7;11;14;8;13;22;16;17;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RGM-1;Data Quality;Recommended value;Recommended value;Provisional value;Certified value equivalent;Recommended value;Recommended value;;Provisional value;Provisional value;Provisional value;Certified value equivalent;;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;;Provisional value;;;;Recommended value;;Recommended value;Recommended value;Certified value equivalent;Provisional value;Certified value equivalent;Recommended value;Provisional value;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Recommended value;Certified value equivalent;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;Certified value equivalent;Provisional value;Provisional value;;Provisional value;Provisional value;Certified value equivalent;Certified value equivalent;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;;Recommended value;Certified value equivalent;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Certified value equivalent;Certified value equivalent;Provisional value;Certified value equivalent;Certified value equivalent;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDO-1;Concentration;12.27;1.05;1.01;;9.34;;1.21;;;;3.35;;1.54;0.042;0.38;0.11;49.28;0.71;;;;;;;;;;;;;0.094 - 0.17;;68.5;0.002 - 0.0035;128;397;3.3;2 - <10;5;;;<2 - <10;79.3;;46.8;66.4;6.9;60.2;6;3.6;1.6;697;;16.8;7.4;1.3;1.34;4.7;0.19;1.2;;bdl;;;38.5;28.6;0.54;;;134;0.347;;11.4;36.6;99.5;;;;27.9;;8.9;;;126;;;;5.35;4.1 - 4.8;13.2;1.9 - 6.8;;7.7;3.7;75.1;1.1;1.2;;10.5;;;0.45;48.8;160;3.3;40.6;3.4;64.1;165;9.95;;8.98 - 10.4;9.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.7;
SDO-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDO-1;Uncertainty;0.23;0.047;0.21;;0.21;;0.5;;;;0.061;;0.038;0.005;0.026;0.007;0.63;0.031;;;;;;;;;;;;;;;8.6;;11;38;0.57;;;;;;7.8;;6.3;7.6;1.2;9.6;0.65;0.55;0.22;88.5;;1.8;1.9;;0.06;0.75;0.08;0.11;;;;;4.4;5.5;0.14;;;21;0.043;;1.2;3.3;9.9;;;;5.2;;0.66;;;3.9;;;;0.44;;1.5;;;0.81;1.2;11;0.13;0.24;;0.55;;;0.08;6.5;21;;6.5;0.46;6.9;24;0.44;;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDO-1;Units;Wt %;Wt %;Wt %;;Wt %;;Wt %;;;;Wt %;;Wt %;Wt %;Wt %;Wt %;Wt %;Wt %;;;;;;;;;;;;;mg/kg;;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;;;mg/kg;mg/kg;;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;;mg/kg;mg/kg;mg/kg;Wt %;mg/kg;mg/kg;mg/kg;;mg/kg;;;mg/kg;mg/kg;mg/kg;;;mg/kg;Wt %;;mg/kg;mg/kg;mg/kg;;;;mg/kg;;mg/kg;;;mg/kg;;;;Wt %;mg/kg;mg/kg;mg/kg;;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;;mg/kg;;;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;mg/kg;Wt %;;Wt %;Wt %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Wt %;
SDO-1;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SDO-1;Data Quality;Recommended value;Recommended value;Information value;;Recommended value;;Information value;;;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;Range;;Recommended value;Range;Information value;Recommended value;Information value;Range;Range;;;Range;Recommended value;;Recommended value;Recommended value;Information value;Information value;Recommended value;Information value;Recommended value;Information value;;Recommended value;Information value;Range;Information value;Information value;Information value;Information value;;Information value;;;Recommended value;Information value;Recommended value;;;Recommended value;Information value;;Recommended value;Recommended value;Recommended value;;;;Information value;;Recommended value;;;Recommended value;;;;Information value;Range;Recommended value;Range;;Recommended value;Information value;Recommended value;Information value;Information value;;Information value;;;Information value;Recommended value;Recommended value;Range;Recommended value;Recommended value;Recommended value;Recommended value;Information value;;Range;Information value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Information value;
STM-1;Concentration;18.39;1.09;0.026;2.87;5.22;2.09;;1.5;0.19;;4.28;;0.101;0.22;8.94;0.158;59.64;0.135;0.0020608;0.062524;;0.000628467;;;;0.0827827;;0.02925186;0.16335;99.77;0.079;9.73;4.6;0.0004;6.4;560;9.6;0.13;2.3;70;0.78;0.27;259;460;0.9;4.3;1.54;4.6;8.1;4.2;3.6;910;3.65;36;9.5;1.4;;28;0.015;1.9;;0.12;bdl;3.55;150;32;0.6;0.061;1700;5.2;;6.63;268;79;3;;bdl;690;17.7;0.0004;19;bdl;;118;bdl;bdl;bdl;43;1.66;0.61;0.0077;27.85;12.6;6.8;700;18.6;1.55;0.006;31;810;0.26;0.69;9.03;8.7;3.6;46;4.4;235;1210;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STM-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.8;;;;;;;;;;;;;;22;;;;;0.001;;;10;0.0001;0.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STM-1;Uncertainty;0.23;0.06;0.015;0.02;0.1;0.03;;0.11;0.04;;0.07;;0.02;0.015;0.2;0.014;0.49;0.012;0.0005474;0.006699;;0.00380003;;;;0.00354783;;0.002738472;0.0162;0.6;0.008;0.12;0.6;;1.7;60;0.6;0.03;1.5;40;0.042;0.06;18;40;0.15;2.6;0.08;2;0.5;0.4;0.3;50;0.07;5;0.8;;;2;;0.4;;;;0.06;6;8;0.1;0.012;120;0.9;;0.15;12;7;1.6;;;60;1.8;;1.4;;;6;;;;20;0.15;0.07;0.002;0.23;1;1.2;30;1.2;0.16;;3;70;0.05;0.16;0.13;5.2;0.4;5;0.4;22;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STM-1;Units;%;%;%;%;%;%;;%;%;;%;;%;;%;%;%;%;%;%;;%;;;;%;;%;%;;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STM-1;N;20;21;6;5;22;9;;10;4;;20;;18;32;23;19;16;20;7;23;;15;;;;17;;17;14;;5;20;5;2;7;23;13;5;3;6;21;3;17;16;9;15;7;17;7;6;18;13;22;8;13;2;;11;1;8;;2;1;20;20;10;10;18;32;19;;23;9;16;9;;1;19;8;2;4;1;;13;1;1;1;3;13;11;4;16;18;10;17;10;11;1;13;20;3;6;9;5;8;13;19;17;14;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STM-1;Data Quality;Recommended value;Recommended value;Provisional value;Provisional value;Certified value equivalent;Certified value equivalent;;Recommended value;Provisional value;;Certified value equivalent;;Provisional value;Recommended value;Certified value equivalent;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;;Provisional value;;;;Certified value equivalent;;Recommended value;Recommended value;Certified value equivalent;Provisional value;Certified value equivalent;Provisional value;Provisional value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;;Recommended value;Provisional value;Recommended value;;Provisional value;Provisional value;Certified value equivalent;Certified value equivalent;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;Certified value equivalent;Certified value equivalent;Recommended value;Provisional value;;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TILL-1;Concentration;13.7;2.72;;;6.82;;;;;;2.22;;2.15;0.18;2.71;0.22;60.9;0.98;;;;;;;;;;;;99.9;;;18;0.013;;702;2.4;bdl;6.4;;;;71;;18;65;1;47;;3.6;1.3;;4.81;;;;;13;;;;;;;28;15;0.6;;1420;2;;;10;26;24;;;930;22;;;;;44;;;;bdl;7.8;13;;;5.9;;291;0.7;1.1;;5.6;5990;;;2.2;99;bdl;38;3.9;98;502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.3 / 6.3;
TILL-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TILL-1;Uncertainty;0.1;0.1;;;0.2;;;;;;0.1;;0.07;0.01;0.1;0.01;0.2;0.04;;;;;;;;;;;;;;;1;4;;59;0.6;;0.6;;;;6;;2;6;0.2;4;;0.5;0.5;;0.22;;;;;1;;;;;;;2;1;0.1;;75;1;;;2;2;4;;;60;3;;;;;6;;;;;0.5;2;;;0.4;;10;0.1;0.2;;0.5;210;;;0.3;10;;4;0.4;10;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 0.2 / 0.5;
TILL-1;Units;%;%;;;%;;;;;;%;;%;%;%;%;%;%;;;;;;;;;;;;%;;;ppm;ppm;;ppm;ppm;ppm;ppm;;;;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;;%;;;;;ppm;;;;;;;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;;;ppm;ppm;;;;;ppm;;;;%;ppm;ppm;;;ppm;;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
TILL-1;N;40;56;;;40;;;;;;59;;46;28;54;53;29;57;;;;;;;;;;;;;;;58;65;;121;26;25;44;;;;75;;95;58;36;48;;4;50;;98;;;;;62;;;;;;;100;35;39;;46;53;;;37;14;57;;;60;46;;;;;86;;;;14;48;64;;;45;;61;47;48;;58;54;;;53;72;48;34;52;69;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;
TILL-1;Data Quality;Information value;Information value;;;Information value;;;;;;Information value;;Information value;Information value;Information value;Information value;Information value;Information value;;;;;;;;;;;;Information value;;;Information value;Information value;;Information value;Information value;Information value;Information value;;;;Information value;;Information value;Information value;Information value;Information value;;Information value;Information value;;Information value;;;;;Information value;;;;;;;Information value;Information value;Information value;;Information value;Information value;;;Information value;Information value;Information value;;;Information value;Information value;;;;;Information value;;;;Information value;Information value;Information value;;;Information value;;Information value;Information value;Information value;;Information value;Information value;;;Information value;Information value;Information value;Information value;Information value;Information value;Information value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Information value;
